"title_id","primaryTitle","year","budget","domgross","intgross","budget_2013_infl","domgross_2013_infl","intgross_2013_infl","runtimeMinutes","averageRating","numVotes","genreComedy","genreAction","genreCrime","genreSciFi","genreBiography","genreDrama","genreHistory","genreThriller","genreSport","genreFantasy","genreRomance","genreAdventure","genreHorror","genreAnimation","genreMystery","genreFamily","genreWar","genreWestern","genreMusical","genreMusic","genreDocumentary","genreUndefined","genreAdult","num_female_producers","total_producers","pct_female_producers","num_female_castmembers","total_castmembers","pct_female_castmembers","num_female_directors","total_directors","pct_female_directors","num_female_writers","total_writers","pct_female_writers","test","bechdel_pass"
"tt2002718","Machete Kills",2013,2000000,8008161,9408161,2000000,8008161,9408161,107,5.6,80414,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,3,0.333333333333333,"ok","True"
"tt2023587","Mama",2013,15000000,71628180,148041253,15000000,71628180,148041253,100,6.2,185110,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,3,0.333333333333333,"ok","True"
"tt0770828","Man of Steel",2013,225000000,291045518,687999518,225000000,291045518,687999518,143,7.1,783093,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0.5,0,1,0,0,4,0,"ok","True"
"tt1821549","Nebraska",2013,12000000,17482517,17482517,12000000,17482517,17482517,115,7.7,120011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,"ok","True"
"tt1670345","Now You See Me",2013,75000000,117723989,351723989,75000000,117723989,351723989,115,7.2,674881,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,3,0,"notalk","False"
"tt1483013","Oblivion",2013,120000000,89107235,287537983,120000000,89107235,287537983,124,7,535724,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,3,0,"men","False"
"tt2302755","Olympus Has Fallen",2013,70000000,98927592,150562164,70000000,98927592,150562164,119,6.5,282343,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0.25,0,1,0,1,2,0.5,"notalk","False"
"tt1623205","Oz the Great and Powerful",2013,200000000,234770996,489570996,200000000,234770996,489570996,130,6.3,210506,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,3,0,"ok","True"
"tt1663662","Pacific Rim",2013,190000000,101802906,411002906,190000000,101802906,411002906,131,6.9,511004,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,1,4,0.25,0,1,0,0,2,0,"notalk","False"
"tt1980209","Pain & Gain",2013,26000000,49875291,81275291,26000000,49875291,81275291,129,6.4,221760,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,3,0,"notalk","False"
"tt1904996","Parker",2013,35000000,17616641,46346651,35000000,17616641,46346651,118,6.2,125307,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,2,0,"ok","True"
"tt1699755","Peeples",2013,15000000,9177065,9177065,15000000,9177065,9177065,95,5.3,5001,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.2,2,4,0.5,1,1,1,1,1,1,"dubious","False"
"tt1854564","Percy Jackson: Sea of Monsters",2013,90000000,68559554,200859554,90000000,68559554,200859554,106,5.7,121026,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0.5,1,4,0.25,0,1,0,0,2,0,"ok","True"
"tt1392214","Prisoners",2013,46000000,61002302,113402302,46000000,61002302,113402302,153,8.1,738985,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0.25,2,4,0.5,0,1,0,0,1,0,"ok","True"
"tt0790736","R.I.P.D.",2013,130000000,33618855,79019947,130000000,33618855,79019947,96,5.6,138945,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,4,0.25,0,1,0,0,5,0,"notalk","False"
"tt1821694","RED 2",2013,84000000,53262560,137162560,84000000,53262560,137162560,116,6.6,174972,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,4,0,"ok","True"
"tt1411250","Riddick",2013,38000000,42025135,92425135,38000000,42025135,92425135,119,6.4,171855,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,3,0,"notalk","False"
"tt2364841","Runner Runner",2013,30000000,19316646,62616646,30000000,19316646,62616646,88,5.6,64631,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,2,0,"nowomen","False"
"tt1979320","Rush",2013,38000000,26947624,43047624,38000000,26947624,43047624,123,8.1,488739,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,"notalk","False"
"tt1702439","Safe Haven",2013,28000000,71399120,93943623,28000000,71399120,93943623,115,6.6,112924,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0.5,0,1,0,1,3,0.333333333333333,"ok","True"
"tt2140373","Saving Mr. Banks",2013,35000000,82834332,100734332,35000000,82834332,100734332,125,7.5,165281,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,2,4,0.5,0,1,0,2,2,1,"ok","True"
"tt2053463","Side Effects",2013,30000000,32172757,60288363,30000000,32172757,60288363,106,7.1,192816,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,"ok","True"
"tt1408101","Star Trek Into Darkness",2013,190000000,228778661,466978661,190000000,228778661,466978661,132,7.7,488278,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,4,0,"notalk","False"
"tt1572315","Texas Chainsaw",2013,20000000,34341945,39093317,20000000,34341945,39093317,92,4.8,53256,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,2,4,0.5,0,1,0,3,6,0.5,"ok","True"
"tt1931435","The Big Wedding",2013,32500000,21819348,35770721,32500000,21819348,35770721,90,5.6,50729,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0.75,0,1,0,1,3,0.333333333333333,"ok","True"
"tt0816442","The Book Thief",2013,19000000,21345525,62045525,19000000,21345525,62045525,131,7.5,138365,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0.5,2,4,0.5,0,1,0,0,2,0,"ok","True"
"tt1911644","The Call",2013,13000000,51872378,58938768,13000000,51872378,58938768,96,6.7,125612,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,3,0.333333333333333,"ok","True"
"tt1457767","The Conjuring",2013,20000000,137400141,318000141,20000000,137400141,318000141,112,7.5,521417,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,4,0.5,0,1,0,0,2,0,"ok","True"
"tt2193215","The Counselor",2013,25000000,16973715,70373715,25000000,16973715,70373715,117,5.4,103110,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,"ok","True"
"tt0481499","The Croods",2013,135000000,187168425,573068425,135000000,187168425,573068425,98,7.2,221216,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0.5,0,2,0,0,3,0,"men","False"
"tt2404311","The Family",2013,30000000,36918811,51078541,30000000,36918811,51078541,111,6.3,119175,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,2,4,0.5,0,1,0,0,3,0,"men","False"
"tt1837703","The Fifth Estate",2013,26000000,3254172,6154172,26000000,3254172,6154172,128,6.2,41876,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0.5,0,1,0,0,4,0,"notalk","False"
"tt2005374","The Frozen Ground",2013,19200000,NA,NA,19200000,NA,NA,105,6.4,64748,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,"nowomen","False"
"tt1343092","The Great Gatsby",2013,190000000,144840419,351040419,190000000,144840419,351040419,143,7.2,561931,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,3,0,"dubious","False"
"tt1951261","The Hangover Part III",2013,103000000,112200072,362000072,103000000,112200072,362000072,100,5.8,321946,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,4,0,"men","False"
"tt2404463","The Heat",2013,43000000,159581587,230781587,43000000,159581587,230781587,117,6.6,176055,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0.5,0,1,0,1,1,1,"ok","True"
"tt1170358","The Hobbit: The Desolation of Smaug",2013,250000000,257397516,937397516,250000000,257397516,937397516,161,7.8,676159,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,2,5,0.4,"notalk","False"
"tt1517260","The Host",2013,50000000,26623701,58188384,50000000,26623701,58188384,125,5.8,116545,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,2,4,0.5,0,1,0,0,2,0,"dubious","False"
"tt1951264","The Hunger Games: Catching Fire",2013,130000000,424088260,857088260,130000000,424088260,857088260,146,7.5,679834,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,3,0.333333333333333,"ok","True"
"tt0790628","The Incredible Burt Wonderstone",2013,32000000,22537881,24255957,32000000,22537881,24255957,100,5.9,74740,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,4,0,"notalk","False"
"tt2234155","The Internship",2013,58000000,44672764,93672764,58000000,44672764,93672764,119,6.3,208473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,4,0.25,0,1,0,0,2,0,"notalk","False"
"tt2034139","The Last Exorcism Part II",2013,4000000,15179303,18541236,4000000,15179303,18541236,88,4,16607,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,4,0,"ok","True"
"tt1210819","The Lone Ranger",2013,275000000,89289910,259989910,275000000,89289910,259989910,150,6.4,238477,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,3,0,"notalk","False"
"tt1538403","The Mortal Instruments: City of Bones",2013,60000000,31165421,75965567,60000000,31165421,75965567,130,5.8,136132,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0.5,0,1,0,2,2,1,"ok","True"
"tt2184339","The Purge",2013,3000000,64473115,91100541,3000000,64473115,91100541,85,5.7,229509,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,"dubious","False"
"tt2017020","The Smurfs 2",2013,110000000,71017784,348545841,110000000,71017784,348545841,105,5.3,43686,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,1,6,0.166666666666667,"ok","True"
"tt1758795","The To Do List",2013,1500000,3491669,3491669,1500000,3491669,3491669,104,5.8,40532,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,"ok","True"
"tt1727388","The Way Way Back",2013,5000000,21502690,26161443,5000000,21502690,26161443,103,7.4,153070,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0.75,0,2,0,0,2,0,"ok","True"
"tt0993846","The Wolf of Wall Street",2013,100000000,115702857,365702857,100000000,115702857,365702857,180,8.2,1451063,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,1,4,0.25,0,1,0,0,2,0,"notalk","False"
"tt1430132","The Wolverine",2013,115000000,132556852,416456852,115000000,132556852,416456852,126,6.7,475649,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,2,4,0.5,0,1,0,0,2,0,"ok","True"
"tt1213663","The World's End",2013,20000000,26004851,46578821,20000000,26004851,46578821,109,6.9,287728,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,1,4,0.25,0,1,0,0,2,0,"men","False"
"tt1245492","This Is the End",2013,32000000,101470202,126294264,32000000,101470202,126294264,107,6.6,420723,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,3,0,"notalk","False"
"tt1981115","Thor: The Dark World",2013,170000000,204674790,631674790,170000000,204674790,631674790,112,6.8,695848,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,9,0,"dubious","False"
"tt1924429","Trance",2013,16000000,2322593,22594052,16000000,2322593,22594052,101,6.9,115632,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,2,0,"nowomen","False"
